IdPregunta	CodigoPregunta	Pregunta	R1	R2	R3	R4	RespuestaCorrecta	JustificacionTexto	IdOrigen	IdTema	IdSubtema	ModificadoOrigen	FechaActualización	Revisión	IdPara	IdCCAADestino	IdCCAAOrigen
62325	001-24034-MUESTRASCITO-210308	Esta definición, “estudia las alteraciones morfológicas de las células desprendidas libremente de los epitelios de revestimiento o extraídas de distintas zonas del cuerpo humano” se corresponde con:	(A) La histopatología.	(B) Estudios necrópsicos.	(C) Citopatología.	(A) y (B) son correctas.	C	La citopatología es la rama de la anatomía que estudia las alteraciones morfológicas de las células desprendidas libremente de los epitelios de revestimiento o extraídas de distintas zonas del cuerpo humano.	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62326	002-24034-MUESTRASCITO-210308	Entre los objetivos de la citopatología están:	(A) Diagnóstico y tipificación de neoplasias malignas, evaluación de las alteraciones de la morfología del núcleo, del citoplasma y de las relaciones entre las células.	(B) Cribado de pacientes de grupos de alto riesgo.	(A) y (B) son correctas.	(C) No se utiliza para diagnóstico de lesiones benignas. Por ej: tumores benignos, hiperplasias, ciertas infecciones virales o micóticas.	C	Los objetivos de la citopatología son: el iagnóstico y tipificación de neoplasias malignas, evaluación de las alteraciones de la morfología del núcleo, del citoplasma y de las relaciones entre las células, este es el objetivo principal, se utiliza para el cribado de pacientes de grupos de alto riesgo.  Y también el diagnóstico de lesiones benignas, por ejemplo, tumores benignos, hiperplasias, ciertas infecciones virales o micóticas.	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62327	003-24034-MUESTRASCITO-210308	Los estudios citológicos los debemos entender como:	Método de diagnóstico de células sueltas.	Método de diagnóstico que nos aporta información topográfica de la lesión.	Los resultados no se confirman con biopsia.	Todas las respuestas son correctas.	A	La citopatología se debe entender como un método de diagnóstico de células descamadas de los epitelios donde los resultados se confirman en la biopsia.	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62328	004-24034-MUESTRASCITO-210308	Señale la respuesta incorrecta con respecto a las muestras citológicas:	El diagnóstico se basa en las características de células independientes.	No aporta información topográfica de la lesión. Se pierde información sobre la arquitectura y grado de invasión.	Las técnicas inmunohistoquímicas no se pueden realizar sobre este material, solo protocolizadas para tejidos fijados en formol y procesados en parafina.	Un diagnóstico negativo no descarta la presencia de tumor maligno.	C	Las limitaciones de la citología son: el diagnóstico se basa en las características de células independientes, no aporta información topográfica de la lesión. Se pierde información sobre la arquitectura y grado de invasión. Para realizar las técnicas inmunohistoquímicas más dificultades porque están protocolizadas para tejidos fijados en formol y procesados en parafina. Si se da un diagnóstico negativo no descarta la presencia de tumor maligno.	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA
62328	004-24034-MUESTRASCITO-210308	Señale la respuesta incorrecta con respecto a las muestras citológicas:	El diagnóstico se basa en las características de células independientes.	No aporta información topográfica de la lesión. Se pierde información sobre la arquitectura y grado de invasión.	Las técnicas inmunohistoquímicas no se pueden realizar sobre este material, solo protocolizadas para tejidos fijados en formol y procesados en parafina.	Un diagnóstico negativo no descarta la presencia de tumor maligno.	C	Las limitaciones de la citología son: el diagnóstico se basa en las características de células independientes, no aporta información topográfica de la lesión. Se pierde información sobre la arquitectura y grado de invasión. Para realizar las técnicas inmunohistoquímicas más dificultades porque están protocolizadas para tejidos fijados en formol y procesados en parafina. Si se da un diagnóstico negativo no descarta la presencia de tumor maligno.	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA
62328	004-24034-MUESTRASCITO-210308	Señale la respuesta incorrecta con respecto a las muestras citológicas:	El diagnóstico se basa en las características de células independientes.	No aporta información topográfica de la lesión. Se pierde información sobre la arquitectura y grado de invasión.	Las técnicas inmunohistoquímicas no se pueden realizar sobre este material, solo protocolizadas para tejidos fijados en formol y procesados en parafina.	Un diagnóstico negativo no descarta la presencia de tumor maligno.	C	Las limitaciones de la citología son: el diagnóstico se basa en las características de células independientes, no aporta información topográfica de la lesión. Se pierde información sobre la arquitectura y grado de invasión. Para realizar las técnicas inmunohistoquímicas más dificultades porque están protocolizadas para tejidos fijados en formol y procesados en parafina. Si se da un diagnóstico negativo no descarta la presencia de tumor maligno.	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA
62328	004-24034-MUESTRASCITO-210308	Señale la respuesta incorrecta con respecto a las muestras citológicas:	El diagnóstico se basa en las características de células independientes.	No aporta información topográfica de la lesión. Se pierde información sobre la arquitectura y grado de invasión.	Las técnicas inmunohistoquímicas no se pueden realizar sobre este material, solo protocolizadas para tejidos fijados en formol y procesados en parafina.	Un diagnóstico negativo no descarta la presencia de tumor maligno.	C	Las limitaciones de la citología son: el diagnóstico se basa en las características de células independientes, no aporta información topográfica de la lesión. Se pierde información sobre la arquitectura y grado de invasión. Para realizar las técnicas inmunohistoquímicas más dificultades porque están protocolizadas para tejidos fijados en formol y procesados en parafina. Si se da un diagnóstico negativo no descarta la presencia de tumor maligno.	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62329	005-24034-MUESTRASCITO-210308	La citología exfoliativa se obtiene por:	Exfoliación forzada: frotación o raspado (muestras ginecológicas, citologías de la piel).	Líquidos que transportan las células descamadas (esputo, orina).	Instrumentos de exploración o punción (PAAF, cepillados del árbol respiratorio o del aparato digestivo, líquidos de cavidades serosas).	Todas las respuestas son correctas.	D	La citología exfoliativa consiste en células descamadas de un órgano en comunicación con el exterior o fácilmente accesible. Puede obtenerse mediante: Exfoliación forzada: frotación o raspado (muestras ginecológicas, citologías de la piel), Líquidos que transportan las células descamadas (esputo, orina) e Instrumentos de exploración o punción (PAAF, cepillados del árbol respiratorio o del aparato digestivo, líquidos de cavidades serosas).	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62330	006-24034-MUESTRASCITO-210308	En citología exfoliativa podemos obtener material de diferentes territorios. ¿Cuál de ellos es incorrecto?:	Aparato endocrino.	Piel.	Cavidades orgánicas.	Todas las respuestas son incorrectas.	D	Territorios orgánicos para el estudio de citología exfoliativa: Aparato genital femenino, Aparato urinario, Aparato respiratorio, Aparato digestivo, Aparato endocrino, Piel, Cavidades orgánicas.	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
62331	007-24034-MUESTRASCITO-210308	El nuevo cribado poblacional de cáncer de cérvix o de cuello uterino, se crea en:	2015.	2019.	2020.	2000.	B	Desde el 1 de julio de 2019 está implantado en España el cribado poblacional de cáncer de cérvix o de cuello uterino, aprobado por Consejo de Ministros en abril de 2019.	Oposición	24034 MUESTRASCITO	24034 MUESTRASCITO	FALSE	8/3/2021	FALSE	24 TEAP	Todas CCAA	
